alpha,beta,lambda,buffer_size,threshold,stress_p99,avg_calmar,avg_cash_time,avg_switches,spx_ann_return,spx_max_dd,spx_calmar,spx_cash_time,spx_switches,iwm_ann_return,iwm_max_dd,iwm_calmar,iwm_cash_time,iwm_switches,btc_ann_return,btc_max_dd,btc_calmar,btc_cash_time,btc_switches
0,0,0,0.5,0.0,0.0,1.5721172302008757,20.514429109159348,110.0,21.305784933835614,-10.06724573411769,2.116346962866988,20.514429109159348,110,23.34649321198723,-11.796991497149623,1.9790209408583694,20.514429109159348,110,42.32948381002355,-68.1651996469748,0.6209837868772698,20.514429109159348,110
0,0,0,0.5,0.25,0.0,1.7137138435868744,26.756587202007534,120.0,22.339325952985444,-9.604454752913005,2.3259338013133943,26.75658720200753,120,26.023606478479145,-11.796991497149623,2.205952804557581,26.75658720200753,120,37.50159706442944,-61.55321119681052,0.609254924889648,26.75658720200753,120
0,0,0,0.5,0.5,0.0,1.8182875238238327,34.15934755332497,172.0,23.4122330009362,-9.604454752912972,2.437643114913464,34.15934755332497,172,28.72395160193979,-11.796991497149623,2.4348539717842503,34.15934755332497,172,40.76510779559723,-69.99918240592889,0.5823654847737829,34.15934755332497,172
0,0,0,0.5,0.75,0.0,1.9703261262004996,46.737766624843154,208.0,20.98474363906322,-7.12444360287855,2.9454571905916374,46.73776662484316,208,26.678416397812143,-11.796991497149623,2.2614593224262434,46.73776662484316,208,43.60542354398134,-61.93407948296632,0.7040618655836179,46.73776662484316,208
0,0,0,1.0,0.0,0.0,1.2278623336005492,11.606022584692601,104.0,23.434685469311045,-14.277584865958094,1.6413620153073745,11.6060225846926,104,23.775146194793038,-15.803830970206246,1.5043913238261346,11.6060225846926,104,41.0419157640584,-76.30968213622637,0.537833661668139,11.6060225846926,104
0,0,0,1.0,0.25,0.0,1.4564223762601987,15.401505646173154,102.0,22.755015721231352,-11.96855524239966,1.9012332951114856,15.401505646173153,102,23.911231411356958,-12.796535365105388,1.8685707286489441,15.401505646173153,102,44.59660313881899,-74.3942417228809,0.5994631050201663,15.401505646173153,102
0,0,0,1.0,0.5,0.0,1.5721172302008757,20.514429109159348,110.0,21.305784933835614,-10.06724573411769,2.116346962866988,20.514429109159348,110,23.34649321198723,-11.796991497149623,1.9790209408583694,20.514429109159348,110,42.32948381002355,-68.1651996469748,0.6209837868772698,20.514429109159348,110
0,0,0,1.0,0.75,0.0,1.7137138435868744,26.756587202007534,120.0,22.339325952985444,-9.604454752913005,2.3259338013133943,26.75658720200753,120,26.023606478479145,-11.796991497149623,2.205952804557581,26.75658720200753,120,37.50159706442944,-61.55321119681052,0.609254924889648,26.75658720200753,120
0,0,0,1.5,0.0,0.0,0.8853440109907353,4.799247176913424,64.0,19.055234725791625,-16.913735319636423,1.1266130376102654,4.799247176913424,64,19.188999222931336,-17.985334874078983,1.0669247671661155,4.799247176913424,64,38.82249653262926,-83.94158059890724,0.46249422819582525,4.799247176913424,64
0,0,0,1.5,0.25,0.0,1.0484073081302323,7.465495608531992,84.0,22.07953738404276,-15.86721088911397,1.3915197534300678,7.465495608531992,84,21.708429503533733,-17.22187213292744,1.2605150784988235,7.465495608531992,84,40.60937258614561,-82.3407043834802,0.4931870924618051,7.465495608531992,84
0,0,0,1.5,0.5,0.0,1.2278623336005492,11.606022584692601,104.0,23.434685469311045,-14.277584865958094,1.6413620153073745,11.6060225846926,104,23.775146194793038,-15.803830970206246,1.5043913238261346,11.6060225846926,104,41.0419157640584,-76.30968213622637,0.537833661668139,11.6060225846926,104
0,0,0,1.5,0.75,0.0,1.4564223762601987,15.401505646173154,102.0,22.755015721231352,-11.96855524239966,1.9012332951114856,15.401505646173153,102,23.911231411356958,-12.796535365105388,1.8685707286489441,15.401505646173153,102,44.59660313881899,-74.3942417228809,0.5994631050201663,15.401505646173153,102
0,0,0,2.0,0.0,0.0,0.5729023754693956,2.038895859473022,30.0,16.882161496855197,-22.769022500302295,0.7414530639877518,2.038895859473022,30,15.621123683836412,-26.929504323371066,0.5800746830040777,2.038895859473022,30,31.662305518871747,-79.71789866180495,0.3971793794163573,2.038895859473022,30
0,0,0,2.0,0.25,0.0,0.7480471084826941,3.042659974905893,42.0,16.515393941079015,-16.913735319636437,0.9764486453743333,3.0426599749058925,42,15.814268383522222,-18.024762613101686,0.877363476178448,3.0426599749058925,42,32.51102156852033,-83.29128654498743,0.39032920389530085,3.0426599749058925,42
0,0,0,2.0,0.5,0.0,0.8853440109907353,4.799247176913424,64.0,19.055234725791625,-16.913735319636423,1.1266130376102654,4.799247176913424,64,19.188999222931336,-17.985334874078983,1.0669247671661155,4.799247176913424,64,38.82249653262926,-83.94158059890724,0.46249422819582525,4.799247176913424,64
0,0,0,2.0,0.75,0.0,1.0484073081302323,7.465495608531992,84.0,22.07953738404276,-15.86721088911397,1.3915197534300678,7.465495608531992,84,21.708429503533733,-17.22187213292744,1.2605150784988235,7.465495608531992,84,40.60937258614561,-82.3407043834802,0.4931870924618051,7.465495608531992,84
0,0,1,0.5,0.0,0.8497266335780792,1.5271558530320872,21.079046424090343,106.0,20.729079527304407,-10.067245734117714,2.059061641562392,21.079046424090343,106,22.818391573308826,-11.796991497149623,1.9342551513088895,21.079046424090343,106,40.09141440224697,-68.1651996469748,0.5881507662249801,21.079046424090343,106
0,0,1,0.5,0.25,0.8497266335780792,1.707969401006493,27.509410288582178,120.0,22.26040379812575,-9.604454752913016,2.317716556619126,27.50941028858218,120,25.881950392989328,-11.796991497149612,2.1939449900631804,27.50941028858218,120,37.68574774206299,-61.55321119681052,0.6122466563371716,27.50941028858218,120
0,0,1,0.5,0.5,0.8497266335780792,1.7871149004880706,34.41028858218319,170.0,23.10351861959412,-9.604454752912972,2.405500282312951,34.41028858218319,170,28.046829276908536,-11.796991497149623,2.3774560898586037,34.41028858218319,170,40.486710163617225,-69.99918240592889,0.5783883292926579,34.41028858218319,170
0,0,1,0.5,0.75,0.8497266335780792,1.9765454396633748,46.92597239648683,214.0,21.09851091720598,-7.124443602878561,2.961425774874734,46.92597239648683,214,26.72457228252223,-11.796991497149634,2.2653718356056602,46.92597239648683,214,43.529668436547,-61.93407948296632,0.7028387085097297,46.92597239648683,214
0,0,1,1.0,0.0,0.8497266335780792,1.1369556285717415,12.672521957340022,96.0,21.460335035469647,-14.27758486595806,1.5030787935736503,12.672521957340022,96,21.96633001633346,-15.803830970206223,1.3899370385411571,12.672521957340022,96,39.51704929415774,-76.30968213622637,0.5178510536004168,12.672521957340022,96
0,0,1,1.0,0.25,0.8497266335780792,1.3860253369676399,16.217063989962355,102.0,21.777777399045164,-11.968555242399715,1.8195828116241943,16.217063989962355,102,22.906026397230672,-12.796535365105344,1.7900178246443743,16.217063989962355,102,40.80340959959554,-74.3942417228809,0.5484753746343506,16.217063989962355,102
0,0,1,1.0,0.5,0.8497266335780792,1.529219553984429,21.424090338770384,110.0,20.804548990883287,-10.067245734117659,2.0665581769179586,21.424090338770384,110,22.747424356862854,-11.796991497149634,1.928239446672403,21.424090338770384,110,40.412491042921594,-68.1651996469748,0.5928610383629254,21.424090338770384,110
0,0,1,1.0,0.75,0.8497266335780792,1.6663129234493745,27.603513174404014,116.0,21.691037768013153,-9.604454752913005,2.2584351039224084,27.603513174404014,116,25.144288325951592,-11.796991497149623,2.1314153131352964,27.603513174404014,116,37.49134404760268,-61.55321119681052,0.6090883532904187,27.603513174404014,116
